pathway	10WLC1B	10WLC2B	114DHH1B	114DHH2B	117DHH1B	117DHH2B	119DHH1B	119DHH2B	1WLC1B	1WLC2B	21WLH1B	21WLH2B	22WLH1B	22WLH2B	23WLH1B	23WLH2B	24WLH1B	24WLH2B	25WLH1B	25WLH2B	26WLH1B	26WLH2B	27WLH1B	28WLH1B	28WLH2B	29WLH1B	29WLH2B	2WLC1B	2WLC2B	30WLH1B	30WLH2B	31WHC1B	31WHC2B	32WHC1B	32WHC2B	33WHC1B	33WHC2B	34WHC1B	34WHC2B	35WHC1B	35WHC2B	36WHC1B	36WHC2B	37WHC1B	37WHC2B	38WHC1B	38WHC2B	39WHC1B	39WHC2B	3WLC1B	3WLC2B	40WHC1B	40WHC2B	4WLC1B	4WLC2B	51WHH1B	51WHH2B	52WHH1B	52WHH2B	53WHH1B	53WHH2B	54WHH1B	54WHH2B	55WHH1B	55WHH2B	56WHH1B	56WHH2B	57WHH1B	57WHH2B	58WHH1B	58WHH2B	59WHH1B	59WHH2B	5WLC1B	5WLC2B	60WHH1B	60WHH2B	61DLC1B	61DLC2B	62DLC1B	62DLC2B	63DLC1B	63DLC2B	64DLC1B	64DLC2B	65DLC1B	65DLC2B	66DLC1B	66DLC2B	67DLC1B	67DLC2B	68DLC1B	68DLC2B	69DLC1B	69DLC2B	6WLC1B	6WLC2B	70DLC1B	70DLC2B	7WLC1B	7WLC2B	81DLH1B	81DLH2B	82DLH1B	82DLH2B	83DLH1B	83DLH2B	84DLH1B	84DLH2B	85DLH1B	85DLH2B	86DLH1B	86DLH2B	87DLH1B	87DLH2B	88DLH1B	88DLH2B	89DLH1B	89DLH2B	8WLC1B	8WLC2B	90DLH1B	90DLH2B	96DHC1B	96DHC2B	97DHC1B	97DHC2B	98DHC1B	98DHC2B	9WLC1B	9WLC2B
12DICHLORETHDEG-PWY	5323.803424	3243.491329	3394.632196	1966.876341	3650.237114	3769.808752	3513.722442	5366.596306	5154.029872	1773.925483	3925.442822	2205.485824	3670.527963	7371.634087	3179.234179	2555.847212	3415.172946	5421.630432	5797.334329	5092.792196	4771.45301	4169.427999	4958.110033	1790.676781	1824.170433	1602.050105	2940.748421	2587.20964	3956.15455	3098.57703	3208.406019	2081.925107	3719.053352	1064.775669	3507.619299	1009.17346	2462.866555	7291.72837	4718.993178	1090.033154	963.8315166	2976.386427	2734.165545	2656.63783	2783.953468	2803.033061	5043.651653	2673.827464	3320.024025	5328.921806	6370.681832	2077.644524	2064.675053	6225.615709	3965.509626	1161.851989	1421.271802	8263.680891	3585.684497	3717.926427	3918.028058	1890.894703	1933.951238	2089.272925	753.800202	8337.697206	4856.041826	3024.865466	1423.497288	5635.354424	3305.51266	6045.102673	4143.236097	1190.705567	1036.769387	4964.106008	4654.798984	12963.38233	13275.91397	18915.94137	6088.823221	4179.776517	2954.776923	2271.035586	1417.535558	5572.893264	4007.135766	26172.93676	16149.28009	3921.163	2881.425184	5991.205627	5178.984695	10299.03176	10900.83977	1899.601557	2622.773119	5424.577051	4603.172235	4603.561845	6532.058873	5105.616413	6141.645458	7373.826797	5767.983738	5117.272342	7595.764533	8368.711568	6705.612042	9088.921128	12631.53483	6088.721166	8243.798426	11165.40154	12813.93874	10696.0739	0	3009.016808	3905.059424	1226.104155	1846.108113	8593.902791	8763.727634	5190.920104	5602.618718	4276.870629	3278.81711	5718.547246	3579.835827	2794.020985	2561.293857
14DICHLORBENZDEG-PWY	3453.382215	2254.230325	2917.536715	2146.455633	5094.515494	5868.018372	5091.90657	5641.117087	4978.392595	2016.378819	4023.000735	3118.057544	2299.985973	4421.426311	2150.536581	966.0394501	2100.588232	3248.831488	3075.677099	2681.153299	3687.066777	2378.880209	2329.269339	1040.157539	957.9660649	802.7916363	2193.143508	1184.512	2773.842115	2106.046537	2204.633473	1716.354449	3915.398733	938.4082756	2992.292372	583.4923952	971.2964618	6013.24986	3615.705453	1062.974299	1154.026361	3022.451739	2576.29565	2132.605559	1379.210909	2779.923557	3359.465886	1752.198017	1650.487522	3088.612925	3073.035556	1421.424325	1652.74737	3395.149936	4277.287038	582.6127974	495.5407815	3023.956803	4255.762364	5316.709769	3826.270695	1244.192022	815.8102878	1189.422313	559.1485669	6004.253312	3963.143632	1215.495001	261.3718983	3106.075311	1203.121466	3456.624345	4282.064081	1118.358372	735.4017365	3569.193819	2425.573821	9594.745677	10257.42387	14832.14407	6300.814715	3174.579716	1973.544724	1953.046037	1343.094427	3621.562595	2798.376636	20186.96977	10584.04308	3727.808746	2550.056664	4966.966289	3804.726322	6214.180503	7479.764545	1336.467136	2561.653252	4842.706155	3335.36288	4255.813626	4261.953821	3133.983419	4701.218144	4279.052136	4060.824724	3917.050483	5929.975836	6857.586448	6476.113032	6502.411926	10599.05253	3814.933309	6087.374234	8814.981932	9138.144123	5209.189795	0	2844.528218	3717.016657	694.7039986	1321.639865	6320.046119	7185.261876	7949.472013	8097.733186	5473.729614	4739.008917	4488.670724	4178.769486	2095.721331	2046.668371
1CMET2-PWY	28788.34058	20123.4681	13819.76623	8166.578856	13127.56504	14369.4031	12871.83482	15979.19756	19084.43742	8199.885337	15101.95143	12056.61883	22463.06718	31045.75421	16932.4381	10188.39116	21861.35131	39624.63327	31142.77607	28045.31077	23206.24782	20221.39924	30390.08203	9338.19888	18561.01443	11996.44651	20450.28082	14146.31959	18684.40822	17295.71822	17767.61483	12107.48436	23795.38812	23949.16916	32241.05388	10697.65829	15545.29695	28162.37099	25541.04408	22669.46503	24706.57496	16122.8579	17450.67424	23604.7673	19115.4583	33397.91221	35710.96634	28922.90017	28797.59319	20458.08913	27146.22644	18187.17229	11720.6971	24560.12581	21558.88075	7196.748707	6225.477526	39549.7955	21675.25388	21215.90071	15157.70498	12570.08501	9631.283619	11942.59713	4743.513455	42536.84938	22239.30352	21523.1393	10717.05021	30774.99257	26313.88468	30515.28544	20727.91812	4049.465878	6294.748028	29073.41588	18585.78414	41520.1705	40954.03128	71473.8349	20096.96246	11943.82973	10305.20377	7598.569016	4039.417227	17435.85947	13928.29313	66254.47266	37752.45984	9604.782534	7038.213072	17197.54171	16054.88569	30236.93263	33043.77451	12883.85813	12615.75203	17605.50572	14348.75221	26544.38024	28492.24156	16766.01082	21478.33974	19927.87861	17990.68429	15182.54943	24523.75929	25638.55795	21818.5503	22981.58682	34597.71755	22746.21657	27121.27385	29737.77583	44348.80383	26771.70063	24.88238028	8727.308249	11273.0026	15055.0859	15234.57229	25831.638	24264.38144	21090.5715	16379.77017	15997.33686	13402.02725	18764.19355	14305.93366	16274.08419	15845.38157
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4133.462643	1867.20568	451.2064351	401.8547827	539.0394036	370.2507974	354.3341512	995.2749793	704.418735	346.0092704	266.1691412	1015.161242	590.7592154	893.1377411	1020.514015	258.4759646	830.317401	1303.440377	975.1283876	1661.81685	982.7357295	717.089874	1532.304573	341.9250406	704.1679246	183.9471015	663.4634187	688.2197271	786.6605806	991.70613	623.2644583	517.6529113	921.2579073	838.7506155	1146.271006	210.3967069	541.8912865	829.1831277	657.0341155	789.0857505	696.0274414	916.4460441	864.6307403	914.3902071	548.3613534	1133.615479	1347.134018	717.1323703	769.9546316	603.0766925	514.4910049	532.0933915	640.1535043	937.3310729	1147.600939	84.64910084	265.1343233	2116.774962	1717.051164	1007.016145	798.210906	1265.025545	178.7582519	294.4990564	129.4492984	1331.021331	1085.348079	925.4916591	190.431174	865.2334475	680.5634772	794.4664115	614.6817912	169.5118371	327.2558644	1373.453604	1632.891546	1096.051383	1064.975984	3029.789042	867.8463129	89.88633366	373.6599889	335.8108777	190.910591	492.907077	149.7677734	2054.280746	1486.261822	298.5436786	241.9777011	410.3498554	679.0079464	1148.77747	959.8917067	691.7341994	888.1340235	795.4504164	503.1380696	2270.50879	1182.729726	1093.14802	636.2135203	738.0717361	1073.007875	631.9807798	1484.229431	1044.756237	641.1857059	757.6380996	453.4341	898.2727488	1197.074033	339.9747106	1100.145966	1148.902545	0	175.0451166	450.4732916	500.5548689	647.4455258	743.0710819	409.247602	745.8847875	580.2715891	617.0078304	540.9546556	500.3098275	243.3948748	605.9947036	1366.362368
AEROBACTINSYN-PWY	548.5501706	238.8634573	107.0135153	89.60854479	114.2136457	128.8192125	124.7895199	190.9754458	70.67408815	61.52536821	62.59911435	320.6658488	251.9366927	314.5364832	104.1588407	193.7343353	198.1846516	286.4541101	255.8165282	214.501437	195.357792	262.3454339	295.0633122	91.96512416	64.89469099	69.72244391	257.3434428	240.146914	193.6309159	202.4188975	237.0906753	103.861846	130.3149089	77.46228615	127.2928024	71.18740338	82.14503189	148.2817439	220.8803241	95.20830508	86.67504034	322.8902438	278.1382448	126.3959672	133.3341387	257.8822343	332.8332939	224.0463394	213.6077486	109.9713571	94.3398741	99.20031939	100.9661925	202.1182035	282.4010458	36.31122855	54.62576687	486.5076732	104.7716019	225.2391759	81.90674441	127.690532	47.19623416	96.33057435	22.93034782	184.8785704	69.77261189	98.82402121	67.64673026	360.8312602	131.533419	354.2312137	72.07863511	22.47906524	85.76261972	219.6320951	213.3386348	291.1782795	256.696886	576.7461104	324.1996395	33.44260687	132.2862997	83.77308187	33.24249489	174.3030115	116.2859327	563.5371705	368.9691697	87.52097781	59.27623484	124.1364199	69.48878301	247.7515754	185.8155946	178.2728315	109.8928224	196.1581271	110.1550644	272.0100134	289.0643544	497.0678872	433.1729817	198.0069708	269.532213	202.9480816	241.4200916	261.227013	363.8250767	144.895899	745.2955318	181.1317156	254.967818	490.8999042	293.08779	646.9870194	0	233.6056885	178.4680423	68.41003391	154.3928695	262.9567845	174.9286615	197.1466637	141.3951288	153.4456704	88.35275099	206.8474463	92.00778115	110.1615751	136.3660562
ALLANTOINDEG-PWY	9578.846484	8885.124434	3695.03629	2137.676471	6168.309118	4845.883319	5181.578091	3919.838638	4582.530439	1809.054108	2890.885355	2341.1687	3635.437587	4772.506406	3208.529505	1825.27301	4571.840229	6668.387757	4899.14471	5086.090821	4196.389138	3970.920272	4190.323368	1607.812664	3808.229169	1873.054978	3388.588055	2258.292669	3088.208477	2654.538417	3765.257906	2192.156278	4086.18249	1757.766187	3602.712079	690.1962404	1922.286527	5677.401866	4326.328442	2508.01502	2026.639828	3086.176325	2488.758682	2744.492813	2270.715828	5742.106153	5604.19099	2298.987072	2269.832648	4175.756342	4344.936936	2177.208653	2006.4144	5318.755538	4938.966805	1026.584108	803.6100651	7726.409201	3694.447635	3702.219559	3953.180997	3117.07528	1295.17381	1799.866073	927.8250641	7979.879396	4226.144941	4062.37218	719.5184238	4914.012557	2649.004946	5889.867439	3556.452318	951.0004236	1413.199256	5718.25933	3941.624621	11298.20096	11125.13427	16217.954	6846.703984	4133.316168	2326.335742	2521.771174	1126.807995	4573.297881	4099.499324	21268.14506	13049.39945	4165.059684	2891.734165	5504.116491	4437.75474	9172.363704	9346.891419	2094.939374	2238.590604	5566.727715	4232.343422	7452.512385	6043.805282	5402.66716	6930.612082	5626.130008	5998.404557	4763.140282	6340.45241	7396.299836	8255.577368	7191.253257	11137.70304	5642.659404	7111.871257	7869.351253	11953.67515	9574.31698	4.485981308	3914.039544	3904.606758	1677.366353	2214.802745	8233.516896	8612.583847	8911.271142	7139.200818	4968.379403	4509.225741	6284.689586	4784.4852	2948.76542	2949.537649
ANAEROFRUCAT-PWY	15250.37381	11903.48242	7470.35524	3840.614551	5385.699356	5543.382175	5854.450325	6387.615981	12492.9389	3800.724757	3949.368708	6119.99212	13949.18011	18218.26658	9046.664325	5558.446896	11837.50016	24910.82594	14431.57083	21429.60779	11825.75144	11088.25217	19660.73358	5761.677654	9413.274459	6958.513652	12263.61059	11099.278	12756.04273	10548.43174	8681.520351	6000.828274	11190.58558	20713.88427	25155.54935	9363.048577	14073.01466	15066.06572	16152.70873	16418.23628	15583.56374	9248.897555	11407.68333	17704.07462	19339.19838	17069.0835	22710.49177	22996.6475	25783.11554	9483.010382	17629.72249	12892.43713	7087.618572	16319.32939	11271.86226	3859.824341	5127.007167	20067.63315	9797.911671	11966.9944	8836.639041	6796.927388	6204.649433	7901.728734	2963.926474	23080.40344	13177.88232	14096.84498	9755.925838	15655.98414	27726.91743	19042.74578	12128.65672	1957.430042	3627.442759	17222.80544	10852.40842	19869.34868	24167.37864	38481.3606	9833.556965	5396.654571	5122.318968	4116.583617	1916.214326	11036.3843	6859.571519	31863.4911	15642.87215	5867.385747	3138.844315	8674.035877	7728.64426	15507.48801	19162.63752	10894.99351	5785.631193	7687.154874	6746.021704	16355.28797	18135.93091	11021.44707	12115.71455	10761.31674	9086.902242	7819.019364	13754.74566	11888.37975	9754.295366	12861.13167	19074.41585	12087.80881	14250.87276	15905.67305	20217.28671	18751.88462	0	5774.019881	4915.665529	11127.70113	10303.87754	12705.05097	9583.748611	9047.364764	8846.835533	8632.427982	6073.559568	8382.316482	4160.485951	7330.337828	7009.01014
ANAGLYCOLYSIS-PWY	29767.00374	19991.75587	16980.22758	9249.527498	17854.80395	16059.03003	16146.19632	17261.24479	23463.18429	9244.909995	15419.3527	13442.33984	27619.21605	33351.60877	18549.68564	12923.1299	24534.58042	46460.26654	33730.34401	34585.99178	26608.32481	23565.28011	37992.78211	10884.13764	16833.4697	15175.17718	23701.10549	19348.18029	25014.60189	20354.84937	19693.10512	13535.3075	24396.616	35059.02674	40518.25508	17646.91345	25000.89342	33791.55351	29447.38972	34336.31651	31633.25153	18727.61734	23542.89828	29950.91026	26900.18408	38846.47339	43500.99258	38196.60265	39609.83811	22639.41531	31789.18761	23233.56865	14856.73656	30136.04654	23816.62318	9078.321556	8500.335849	49246.27762	22405.19433	24731.24692	17839.66689	15193.20549	12983.44552	15488.82842	5782.595479	50087.5495	25318.69725	27397.1671	16413.82287	37559.96504	38595.51163	36074.49487	24798.99923	4389.464497	7147.760319	35326.07866	23938.61803	45143.33018	45132.76843	87972.67354	23932.20792	14458.68003	11463.25226	9449.707398	4362.351028	21484.37305	15522.70899	79593.88726	45990.22572	13524.48412	8800.737382	17157.57885	18556.61784	37844.02222	37256.53878	15880.56922	13713.94235	18664.55344	15053.76409	27128.25618	32036.44187	21445.17299	25328.95727	26958.85644	22295.55223	18912.05835	28465.42416	30115.70968	27643.72261	27768.5608	40924.57159	24904.20929	32304.10466	36635.39217	52145.0312	36639.79186	21.92749214	12242.0919	13364.41536	15985.38475	16826.31289	32426.03354	31219.99568	27254.68855	20162.07905	19005.88893	15133.35077	22887.11096	15327.27168	16692.20948	15557.6579
ARG+POLYAMINE-SYN	14659.26985	11462.82899	5632.143387	3300.299285	5125.005548	5992.744399	5007.023759	8529.064018	12968.29086	4918.435989	8898.764579	6225.556382	12268.04883	16790.87647	9433.52066	5043.772635	11156.3917	20613.69485	17289.15962	17081.00188	12528.64115	12183.26981	16528.70285	5341.298693	4042.526592	5688.958789	9764.695951	9888.228463	12230.84929	10013.99657	9934.222504	7122.059874	13227.29038	14241.76796	19516.98656	10252.16649	13217.47839	18934.79616	16960.205	18354.28062	14532.82524	9617.14936	11663.34297	15235.78602	15437.98911	21295.30813	23663.72644	20706.61375	17810.16577	11033.29686	12120.53787	11386.49637	8999.814475	15146.64795	11441.97982	4235.116938	3506.3177	24300.64161	13654.64335	12304.48212	7632.013415	7374.155967	6234.32588	8511.910577	3386.889999	24117.82409	14686.49355	11543.10402	6289.1476	18183.84546	21274.30822	17053.84025	13977.99722	2576.914749	3234.83142	15436.45197	11400.47272	20124.97808	20284.817	30259.48603	10367.45979	5695.728017	4703.302072	3054.068225	2003.103479	9203.815938	5061.858876	36426.2319	20990.4197	3985.049785	3550.063644	8978.337248	7625.920853	11841.67915	14929.49047	8589.143925	7452.078	8259.395519	7080.193195	15688.33989	16322.5686	5466.179374	8414.32434	7930.09339	6030.907544	6296.087064	10665.5048	11460.905	8557.009876	11564.01291	18379.92784	8648.132575	12825.29194	14932.16604	19225.49549	9243.076144	6.375076188	2852.844907	5072.175574	8876.26562	9350.070004	11980.03547	10338.99473	7113.158905	7386.531799	7001.042048	5815.480791	7145.193875	6274.276813	9281.06116	9065.220587
ARGDEG-IV-PWY	3412.182108	1557.89577	127.7493038	128.7400681	76.5987351	52.03054956	44.06550188	84.42498713	127.0800203	21.79568032	60.72717282	33.6291962	147.7320805	270.4544896	249.9297929	232.8532431	413.825163	424.8169326	291.5485591	561.9735238	388.8667003	316.0382965	544.0250474	153.977755	415.7773845	142.2621676	350.2697315	78.10845101	127.3884288	187.9433343	170.4891515	181.7171877	217.7334332	117.7983723	256.5092836	74.27185944	124.8876775	310.0134509	211.5311909	324.6787839	273.9254872	246.7486613	173.3724672	299.7077515	217.7680777	533.7470892	464.812322	274.8864932	176.3224877	124.2866256	154.838004	141.3963468	317.6471692	185.1700448	155.7062479	44.61451347	72.7109371	492.8181309	171.3227452	243.8684487	130.4064658	100.0537617	118.4120641	121.2785407	79.68896639	422.0885402	147.8060888	254.436332	52.02488794	349.7744446	133.1590608	327.3061669	191.8655726	7.900623841	92.31660399	437.1545192	272.3060606	501.7678225	256.4100151	593.9333789	62.27132913	35.0886784	74.24943997	71.77517356	7.844908623	124.8008731	81.97343706	684.7484809	230.5739336	55.92136507	0	106.8117088	104.8991719	173.8799749	118.677292	112.061239	109.3889276	163.1144678	88.5562827	1113.87127	197.778148	257.138167	75.1553238	227.9180602	54.02127457	70.8264116	150.2687592	248.5830466	120.0805949	129.367087	149.0614239	96.98665099	303.9264265	116.3951768	406.1533104	217.3155626	0	33.45652466	104.6355004	295.4760423	424.6357744	245.8128334	197.1349808	102.6110289	66.5376519	112.350549	87.92336637	57.22127443	32.92011996	134.7158623	665.4478096
ARGDEG-PWY	216.2780689	803.6058398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.96789439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.63501745	0	0	0	0	0	0	0	0	0	0	0	18.32169122	32.15989829	0	0	0	0	0	0	0	0	0	0	0	85.9596098	50.19279913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.09994655	0	0	0	0	0	0	37.08827815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1318.285697	1361.303846	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY	15715.54575	10725.03974	10251.6004	5928.567671	12782.12048	11756.49945	11655.47755	11932.49123	15357.52198	5931.750467	10342.34826	8082.831036	16755.50199	19588.56601	10120.95448	6714.571015	13495.06452	29240.42139	19544.87439	18906.99753	15289.50831	13376.97052	22481.39475	6217.159157	7494.741966	11108.61365	13864.60844	12044.86931	14605.61506	12075.09971	12616.66753	8140.037236	15270.44281	21429.24172	24719.38189	10783.65326	16165.48422	21279.56169	16949.75136	20140.68866	19796.99987	11436.89738	14545.00521	19479.88678	15619.11042	23476.13354	25375.2553	24585.48224	25771.74443	14233.19022	20028.16063	15270.94088	8892.789952	17597.79892	15171.44515	5519.835767	4619.460554	28919.2478	16050.75463	15963.03684	10807.60865	8910.248032	7743.203928	9551.082033	3442.505544	31476.22789	16405.96259	17463.15411	9127.017843	22189.03203	21965.43213	21298.60952	15604.02297	3095.278795	3868.296541	19625.85296	14109.23042	28822.56402	30690.33695	50834.57504	17247.85227	10499.14678	7600.410069	6830.581465	3072.936732	13288.52839	11020.37608	53397.90923	31087.95503	9631.128266	6402.892569	13399.90687	12138.91373	26362.85453	24364.10568	9082.547221	8315.484066	12957.2853	10667.26873	14501.32691	19463.5571	14008.6973	17738.84523	15972.59948	15382.94288	12546.34593	18151.52143	20012.80353	18670.90451	18926.69635	27347.3299	16635.72738	20030.55706	23357.78453	32687.18442	25507.33944	6.889952153	8762.126144	8975.864582	6176.169961	8865.467911	20535.22177	21830.04702	19710.30554	15759.27711	13025.58379	10619.62659	15759.08715	11523.15995	9675.811064	8122.315962
ARGSYN-PWY	27999.54447	18924.8835	14545.35181	7828.440102	14397.13334	13875.71677	13341.91039	16558.05182	20774.88461	8267.284962	14880.13194	12237.60073	23905.1432	29784.25454	16558.23695	11852.71532	22001.13307	43864.69343	29508.70808	30586.66475	22730.31517	21046.05655	32350.80209	9297.072702	18586.16229	14429.80337	20380.14011	16655.10849	21369.25947	17410.70648	18108.42799	12314.39334	23553.19801	30363.69286	34748.55159	16294.85733	22660.71927	29152.88751	26596.87216	31028.68695	28605.63079	17022.87655	20777.04185	27038.61987	23330.93841	35753.75596	37463.47143	35462.60465	34753.34775	20270.26977	30387.79282	19985.15464	13167.20446	27776.19602	23205.60714	7995.301138	6988.807264	43173.98107	21739.3718	21997.79225	15683.63257	13036.82441	11116.92669	13616.34282	5049.043385	43929.65835	22837.48911	25306.71647	13088.96314	32272.1914	32797.01449	32513.93875	21179.1128	4176.555984	6902.592213	31004.46285	21442.2971	40204.58677	41621.70137	76873.20355	20148.31421	11884.82293	9999.738907	7812.467499	4061.039506	19991.75731	12365.3815	71219.44535	41043.03261	11000.74876	7596.693655	17418.83027	17219.34299	30274.09266	31432.66822	13667.99171	12840.94718	16973.00107	13712.08935	24857.50146	28328.75443	17472.74302	22006.1819	22850.52305	18436.90788	15824.99472	25128.6842	26774.38744	22352.89746	25343.79659	39243.85888	21091.38152	28941.08907	34029.44147	46744.47989	30453.64346	22.25454545	9846.818568	11829.92422	15831.14118	15691.61475	28346.7396	26022.35061	21975.8216	17957.26086	16298.75801	13151.01758	18683.58806	13429.55268	14968.12231	14496.46616
ARGSYNBSUB-PWY	30911.34789	21137.98362	16193.96217	8530.621374	15366.60454	14716.684	14746.28883	17556.44336	23126.81672	9164.566632	15273.95222	13515.22774	26407.22333	32769.74131	18053.0008	12972.24865	23996.05251	46922.88294	32511.74129	33684.15005	24891.05764	23058.6927	36106.9799	10237.38922	19849.26706	16207.24185	22454.17254	18508.26015	23583.28056	19271.0948	19878.01739	13475.02479	25792.9382	33098.49185	38042.94386	17693.73263	24867.46028	32140.17284	29110.12522	33678.40488	30850.32366	18684.75173	22719.64482	29410.89608	25354.92093	38876.9551	40912.80406	38316.49595	37977.40192	21479.7377	31944.68241	21851.12025	14322.86827	30099.22912	23925.58681	8771.292071	7751.834451	47734.48886	24047.62077	24463.08747	17424.09137	14241.79201	12264.21619	14899.33655	5548.783209	47870.39493	24961.66475	27667.03446	14610.65971	35564.70611	35642.01568	35799.78259	23378.56965	4520.549638	7189.715283	34034.12045	24262.89658	43101.75928	45111.32273	85130.0153	22077.02165	13413.38067	11010.61993	8819.643246	4299.398184	21531.21282	13960.14826	77789.32599	44477.04024	12539.96656	8090.016585	17637.11402	17807.29402	33937.62487	34932.31581	14977.66716	13167.34513	17606.63335	14332.31194	27494.21833	31260.51701	19485.03633	23156.55801	24956.48625	20112.11532	17471.51177	26765.79001	27849.96819	24483.22149	27160.98566	41438.58487	22662.15851	30693.2375	36059.05812	49152.86167	34366.06821	19.72893177	11224.06453	12513.70683	17450.0163	17370.38852	30773.49705	28367.57629	24008.42907	20287.45295	18196.4341	13888.24337	20374.26233	13432.63758	16420.01463	15952.07693
ARO-PWY	31825.7808	21081.40539	16352.996	8907.086233	16130.67344	15311.23714	15067.00953	17186.653	23523.31623	9350.944308	16290.33298	14104.22221	27359.90922	34929.95182	19338.23431	13303.45586	25639.63002	48918.15331	35117.64183	34435.69657	26501.83871	24010.70341	36561.05475	10828.31456	21309.88315	16066.18032	24249.01235	18910.92962	24157.28798	20271.50554	20488.62854	14122.46335	26558.3088	33247.20422	39707.45431	17723.76616	25475.34568	33080.12483	29773.99477	34057.13384	31493.98016	19274.04478	23385.0903	30566.88819	25716.82604	41175.92443	44220.31693	39668.64703	38802.91935	23568.61966	32994.53833	23366.96414	14719.97446	30763.59813	25606.78249	9060.455453	8092.554084	50177.85256	24317.39719	25081.75339	17964.78208	14819.9648	12445.18653	15127.56818	5706.421177	50403.35073	25918.36494	28392.27779	15370.38575	37582.37813	36771.39937	36690.57209	24027.56532	4489.567561	7634.061571	35938.65825	24111.61667	44606.25708	46312.82024	85110.85928	23118.6796	13874.25659	11627.08644	9090.114401	4437.568302	21298.3732	14862.00329	76775.39676	44507.00809	12574.10422	8316.467421	17688.63297	18371.03733	35697.26377	35837.32857	15599.50905	14439.88059	18451.69684	15081.59889	28905.31763	32647.22354	19744.57746	23832.20934	25264.92156	20832.09807	17707.42133	27503.568	29501.57872	25200.90034	27371.64865	41052.966	24148.95177	31582.23695	35770.50278	50799.05493	34918.81928	24.60606061	11394.69267	12817.33414	16591.78762	16784.70135	30746.78717	28794.09067	24839.3022	19713.26065	18322.99296	14452.18515	21426.93524	14552.23919	17753.86506	17341.12355
ASPASN-PWY	829.1744448	608.8530864	203.9160679	186.4815474	508.7208364	69.63669767	229.0113435	52.38510743	141.4256996	461.4816619	358.3877801	480.2361439	1983.825824	844.8469967	184.0779857	65.05858145	300.0021292	381.6630118	717.5028553	701.9828499	1274.212106	419.0325262	1903.801869	445.000271	88.48697714	133.4277439	936.2806258	2754.55433	3276.117238	323.6707737	221.2977529	657.5009401	305.5916188	11450.35036	8782.302321	7986.53683	8120.404959	2769.604313	3589.528072	12459.75252	11348.86963	1291.852649	6615.546896	5852.071332	8015.739502	5737.191311	6394.025221	13869.5685	11452.93155	244.4933925	398.9015882	5251.762183	3246.636921	346.2849749	272.3299128	959.81929	1541.368984	3775.787616	177.1286634	1898.101874	584.6659	2522.948108	1988.132997	2733.462524	785.5038173	1471.442116	95.23889609	2206.325566	4433.640442	3945.623561	10859.52177	547.8537706	3086.513611	90.37477247	98.11462189	304.4368448	367.5072785	852.3718487	404.475901	329.7905432	90.55292102	255.0496963	74.87446718	67.39121002	22.84721545	337.2365285	245.6829	894.0791328	472.5110597	263.922228	29.02384877	118.9058783	175.9251543	1056.934927	1574.148211	1121.90341	350.6643715	309.1629676	141.6046277	159.1809078	358.1494526	1502.124246	967.9510331	846.0783957	1036.015224	805.4189398	820.3402282	309.7040721	1295.696748	328.3614189	1022.435679	779.4820644	764.3643933	1192.572351	655.0020479	141.1487234	0	194.278683	210.8455387	8901.956119	6527.167076	241.036974	350.84737	157.7300611	15.98743385	64.36156337	87.38218035	551.7479768	315.1477493	105.844339	88.3895813
AST-PWY	6564.633382	6521.040473	285.6397256	200.8530394	203.9822553	195.9762111	147.3707627	245.0470726	630.4510893	468.9780512	231.8083257	587.503684	589.779194	486.2795326	294.9044538	150.7702711	507.1678692	873.3713141	451.182171	543.3535271	243.5118939	277.6743984	385.5456909	190.1191342	943.7568397	374.6890272	564.5277908	521.5652836	401.6603096	273.4905887	461.6782093	499.6391297	1815.272939	202.3897282	815.1681449	103.7193485	226.7936967	374.2637264	446.2000641	431.3144939	510.5521691	510.2419386	345.2672494	373.2187288	211.5362881	830.5614231	1113.243262	245.8795449	317.2914355	228.2847276	263.2284262	355.475355	352.2392725	939.2461808	203.7272224	103.324287	125.0716008	773.4594391	700.7742964	577.4257964	283.001603	251.8335269	102.6441644	280.0049313	209.1532383	1080.694501	326.2849453	310.4518394	265.6496713	1002.652634	1145.10672	710.0431351	248.293971	253.7693241	152.3692834	1550.655064	343.3520681	626.3039732	481.0676852	1487.384787	269.8557617	69.93417672	85.74898585	86.95429731	40.46589058	305.8152145	78.3393267	1128.129859	1067.314393	134.6630887	132.8467169	209.5430799	270.3356156	378.4037751	348.6903101	243.5328664	525.462646	242.4755089	117.6750784	3412.33469	2038.179877	472.8109082	190.3095735	339.3422651	191.0904339	317.6041215	328.3518468	321.0182115	370.7085551	304.8627879	374.157494	317.2373766	429.7815589	724.5043422	761.4640452	300.3907822	0	171.8040362	185.5813042	7022.248076	5730.656848	565.4630523	316.2373362	206.0943401	143.3501279	271.1738228	409.9954829	386.5786361	335.577036	1794.168719	2197.121871
