ASV_ID,10WLC1B,10WLC2B,114DHH1B,114DHH2B,117DHH1B,117DHH2B,119DHH1B,119DHH2B,1WLC1B,1WLC2B,21WLH1B,21WLH2B,22WLH1B,22WLH2B,23WLH1B,23WLH2B,24WLH1B,24WLH2B,25WLH1B,25WLH2B,26WLH1B,26WLH2B,27WLH1B,28WLH1B,28WLH2B,29WLH1B,29WLH2B,2WLC1B,2WLC2B,30WLH1B,30WLH2B,31WHC1B,31WHC2B,32WHC1B,32WHC2B,33WHC1B,33WHC2B,34WHC1B,34WHC2B,35WHC1B,35WHC2B,36WHC1B,36WHC2B,37WHC1B,37WHC2B,38WHC1B,38WHC2B,39WHC1B,39WHC2B,3WLC1B,3WLC2B,40WHC1B,40WHC2B,4WLC1B,4WLC2B,51WHH1B,51WHH2B,52WHH1B,52WHH2B,53WHH1B,53WHH2B,54WHH1B,54WHH2B,55WHH1B,55WHH2B,56WHH1B,56WHH2B,57WHH1B,57WHH2B,58WHH1B,58WHH2B,59WHH1B,59WHH2B,5WLC1B,5WLC2B,60WHH1B,60WHH2B,61DLC1B,61DLC2B,62DLC1B,62DLC2B,63DLC1B,63DLC2B,64DLC1B,64DLC2B,65DLC1B,65DLC2B,66DLC1B,66DLC2B,67DLC1B,67DLC2B,68DLC1B,68DLC2B,69DLC1B,69DLC2B,6WLC1B,6WLC2B,70DLC1B,70DLC2B,7WLC1B,7WLC2B,81DLH1B,81DLH2B,82DLH1B,82DLH2B,83DLH1B,83DLH2B,84DLH1B,84DLH2B,85DLH1B,85DLH2B,86DLH1B,86DLH2B,87DLH1B,87DLH2B,88DLH1B,88DLH2B,89DLH1B,89DLH2B,8WLC1B,8WLC2B,90DLH1B,90DLH2B,96DHC1B,96DHC2B,97DHC1B,97DHC2B,98DHC1B,98DHC2B,9WLC1B,9WLC2B
a03a82496570dfcce65cd046d2b400c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7141b977f745eab6a92777fe97b0432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8620bd821e0d4ca44dc9e2b4028cb33d,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,25,7,0,0,0,36,15,27,47,0,0,66,49,0,12,0,0,0,0,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb9785a654d7b381fd43d781d3126092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abb8cd4e54606493db6cd4898a92d50a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a868de9616117844b761fcb46abea4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3532381e0468dd6f2bc8b96196808ab9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16
9783f65ac7c7175949c4fd41841e2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,76,0,0,0,0,0,44,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43c36cc84f2842f9a9c80cfc90ecb87d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f2e33707bc92cf03701582d5851e3f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,27,16,0,0,0,0,0,0,48,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
